numero_sinistr,Charge,exercice,Police
200900003028,3310,2009,3329
200700029229,8693,2007,3335
200800049031,6000,2008,3335
200700028744,6000,2007,3346
201100059753,6000,2011,3360
200700007957,-2560,2007,3368
200700004870,1500,2007,3375
200700034464,-2900,2007,3376
201000028965,6000,2010,3391
200800004123,-5380,2008,3396
200800015600,-3996,2008,3397
201000016622,-1593.48,2010,3398
200700034052,975.18,2007,3401
201100015015,8839.12,2011,3404
201000055709,76650,2010,3407
201000056364,5862,2010,3408
201000046010,6000,2010,3408
200800039864,6000,2008,3408
200700042680,6000,2007,3410
200800018987,6000,2008,3417
200900002504,6000,2009,3428
201000054007,53650,2010,3434
200900030099,48150,2009,3436
200700034744,27566.23,2007,3436
200700004430,-2700,2007,3443
200800025891,44944.52,2008,3448
200800026910,46990.32,2008,3451
200800010400,2520.67,2008,3452
200800039631,1960,2008,3454
200900001149,479.18,2009,3456
200800047544,57150,2008,3458
201000036052,380,2010,3461
201000053573,6000,2010,3464
201100041012,-4660,2011,3468
200700014330,-2830,2007,3468
200700001457,-877.45,2007,3469
200700039594,6000,2007,3479
200700032974,6000,2007,3508
200700019787,6000,2007,3513
200700040085,37150,2007,3516
200800053731,14118.22,2008,3521
201000001048,-4550,2010,3522
200900027094,-1100,2009,3522
200900035095,-4500,2009,3522
200800047596,6000,2008,3527
201000010329,4539.04,2010,3528
201000039703,-1800,2010,3530
201000005992,-2255.9,2010,3530
200700023793,25158.94,2007,3530
200900034338,-2830,2009,3534
200700024442,804,2007,3536
201000015409,-2426.97,2010,3538
200800034845,6000,2008,3542
200800029080,11717.87,2008,3546
200700001362,-181.83,2007,3552
200800025136,7777.71,2008,3554
200800043172,6000,2008,3554
200900005951,6000,2009,3555
201100038788,3639.25,2011,3556
201100042106,-1128,2011,3567
201100004732,4600,2011,3570
200700035265,6000,2007,3578
201100008100,43650,2011,3581
200800003448,6000,2008,3584
200800009894,38170,2008,3594
200900041463,6000,2009,3594
200900027936,10388.51,2009,3597
200900020110,-2556,2009,3598
200700006583,6000,2007,3598
200700007097,6000,2007,3600
200700046865,63150,2007,3605
200700016825,12320,2007,3607
200700011674,14853.15,2007,3613
200900012838,664.89,2009,3628
200800031920,1791.66,2008,3628
201100036616,81228.32,2011,3634
200800001875,6000,2008,3634
200700037904,6947.22,2007,3637
200700019957,6804,2007,3637
201000041521,45650,2010,3637
200900040767,1740,2009,3638
201000005348,368.9,2010,3641
200800036343,-2220,2008,3648
200800002023,6000,2008,3651
200700031577,6000,2007,3651
200900010189,-3607.82,2009,3655
201100026596,6000,2011,3667
200800008784,3900.1,2008,3672
200900027349,2048.72,2009,3688
201000030055,6000,2010,3688
201000021513,2443.67,2010,3688
200900050045,3000,2009,3692
200700015817,10305.77,2007,3693
201000007727,-936,2010,3694
200800043226,6953.77,2008,3699
200800011256,-1020,2008,3704
200900019942,6000,2009,3705
201000029218,6000,2010,3706
201100033525,-10.56,2011,3706
200900040486,6000,2009,3714
200700004178,1908.11,2007,3714
201100001301,4587.61,2011,3715
200700020409,53706.94,2007,3716
200700028468,6000,2007,3721
200700033820,1926.8,2007,3722
200800023327,940,2008,3722
200800012709,3000,2008,3722
200800025356,6000,2008,3722
200700020990,6000,2007,3724
200900043056,6000,2009,3725
200700025671,-2850.24,2007,3740
200700046158,6000,2007,3742
200900026266,-1240,2009,3742
200900035984,6000,2009,3743
201100007705,-584.3,2011,3743
201000019310,6000,2010,3759
200800037001,6000,2008,3763
200800010645,6000,2008,3763
200700006809,-3720,2007,3778
200700027096,-2300,2007,3778
200700023800,1464,2007,3778
201100012839,6899.01,2011,3778
201100000807,6000,2011,3778
201000027837,6000,2010,3779
201100009564,31295.44,2011,3786
200700030595,6000,2007,3804
200700003372,1420,2007,3804
200800011477,1678.05,2008,3804
200800048778,6000,2008,3806
200700024690,2803.99,2007,3812
200700043427,6000,2007,3812
200700000684,17808,2007,3813
200700013228,58105.98,2007,3813
200700020836,6000,2007,3813
200700009037,6000,2007,3813
200700007795,2436,2007,3813
200800007087,6000,2008,3813
200800037049,6000,2008,3813
200800015245,6000,2008,3813
200800013733,22804,2008,3813
201000011365,6000,2010,3815
200800022978,750,2008,3817
201000052450,1000,2010,3818
201100035442,6000,2011,3823
201100020721,6000,2011,3823
200800004232,36000,2008,3834
200700044338,6000,2007,3842
201100013323,6804,2011,3851
200700003536,736.44,2007,3853
200700017448,-2760.14,2007,3855
200700027924,7716,2007,3872
200700007781,8568.77,2007,3875
200700032985,-1440,2007,3880
200700021002,6000,2007,3892
200900001671,25997.7,2009,3892
201100025877,5516,2011,3894
200700035486,8369.59,2007,3894
201100013576,58150,2011,3899
200800023660,6000,2008,3903
201000022388,18,2010,3904
200800018312,9550,2008,3917
200800049378,1710,2008,3923
201100031764,1440,2011,3923
201000000017,2684,2010,3926
200700020243,5000,2007,3927
200900005221,85000,2009,3927
201100057192,1272,2011,3929
200800020965,50500,2008,3936
201100030585,6000,2011,3955
200800008439,-3552,2008,3956
200700046352,30676.75,2007,3959
200700023432,6000,2007,3959
200700027104,-254.12,2007,3962
200900004454,2141.5,2009,3962
201100025501,-3807,2011,3963
201100025561,1358.39,2011,3963
200700006358,3483.5,2007,3968
200700020415,6480,2007,3973
200900033566,-7200,2009,3974
201000020027,1223.19,2010,3974
200800019983,6000,2008,3975
200700042879,165210,2007,3980
201000009679,6000,2010,3986
200800002800,3951.6,2008,3998
200900041929,12000,2009,4002
200800002030,6000,2008,4007
200900005453,324,2009,4022
200700028975,9443.18,2007,4028
200700025439,6000,2007,4030
200700025600,-1800,2007,4030
200700040170,9000,2007,4030
200700000038,11147.36,2007,4031
200700038214,-5000,2007,4032
200800008423,-4800,2008,4042
200800021990,6000,2008,4047
201000006643,39910.72,2010,4057
201000018296,-3082.8,2010,4059
200700017692,6000,2007,4060
200700013239,-1937.4,2007,4070
200700041733,6000,2007,4072
200700024995,6000,2007,4073
200800036402,6000,2008,4073
200700021091,271.85,2007,4075
200900003034,2528.76,2009,4081
200900008402,10746.43,2009,4085
200800005276,21801.18,2008,4095
200700028036,6000,2007,4102
200700029029,66596.68,2007,4102
201100052422,5850,2011,4103
200900038257,1548,2009,4103
200900025108,-3996,2009,4103
201100001744,21.67,2011,4109
200700039754,2714.86,2007,4110
200800006916,20149.74,2008,4111
200800053850,6000,2008,4120
200800018367,6000,2008,4120
200900014593,21211.56,2009,4121
200700035665,6000,2007,4124
200700035652,5932.76,2007,4128
201000010291,6000,2010,4142
200700029817,6000,2007,4144
200700014696,6000,2007,4144
200700030186,37150,2007,4144
200700031040,9918,2007,4147
200800011622,-3256,2008,4160
200900012258,1080,2009,4161
200900023831,11015.96,2009,4162
200700036496,6000,2007,4170
200700029313,155.44,2007,4171
200700047360,77488.88,2007,4176
200700017403,1127.24,2007,4177
200900018955,250,2009,4200
200800022045,3245,2008,4200
200800018411,6000,2008,4203
200800018876,22408.28,2008,4206
200800013471,3644.04,2008,4206
200900005135,27667.64,2009,4206
200800023740,60200.06,2008,4218
200800023643,6000,2008,4219
200800016488,6000,2008,4220
200700032793,63424.86,2007,4227
200900052335,52263.8,2009,4235
200900044747,50512,2009,4237
201100031890,-1410,2011,4242
201100020772,-4500,2011,4251
201000010018,3628.95,2010,4251
200700030693,-1911.14,2007,4253
200800018674,-3000,2008,4253
200800034551,6000,2008,4263
200700025700,6001,2007,4265
200900039970,4250,2009,4268
200700029026,750,2007,4270
200900005939,-2850,2009,4275
200900055486,6000,2009,4278
200800032877,-3060,2008,4285
200800019838,-220,2008,4304
200700029317,6000,2007,4312
200900003326,-2387.85,2009,4320
201100010215,4546.11,2011,4321
201100034851,-1581,2011,4332
200900006120,-2159.05,2009,4332
200900000701,1205.63,2009,4333
200900006231,6000,2009,4344
200900005764,6000,2009,4345
200700034027,-4000,2007,4350
200700039506,2658.58,2007,4356
200900049113,6000,2009,4362
200800003695,4654.5,2008,4367
200800024496,310.12,2008,4370
200900023309,6000,2009,4370
200900015691,-4000,2009,4371
200900027093,6000,2009,4381
200700042186,39141.28,2007,4383
200800002141,-4361.52,2008,4392
200800003488,-5063.29,2008,4405
200800043646,36351.72,2008,4405
200800021783,1798.72,2008,4405
201000041772,5348.98,2010,4406
201000055994,50000,2010,4408
201000039553,58105.56,2010,4420
200800045001,-4128,2008,4423
201100043655,6000,2011,4424
200900027454,-4510,2009,4424
200900015314,-3591.98,2009,4424
200800018053,-2800,2008,4424
200800006133,-120,2008,4436
200800042400,5835.39,2008,4439
200800022073,3574.52,2008,4441
201100032037,2081.46,2011,4441
201100005567,-3301,2011,4441
200800026079,30229.14,2008,4445
200800013029,-2969.77,2008,4448
200800033542,58960.25,2008,4450
201100054027,1792.71,2011,4453
200900002642,6000,2009,4458
201000039043,0,2010,4466
200800004789,-3731.17,2008,4466
201000015642,22298.16,2010,4469
200900025682,12117.83,2009,4469
201100044773,4210,2011,4470
200800039303,6000,2008,4483
200900037405,6000,2009,4484
200900000032,-1741.61,2009,4485
200900020334,7572.75,2009,4486
200900042230,6000,2009,4487
200800046866,6000,2008,4491
200800022770,6000,2008,4491
200900010610,56496.38,2009,4493
200900005893,-1626,2009,4501
200800033563,10281.48,2008,4501
200800020119,6000,2008,4519
201000039688,2805,2010,4521
200900012256,11858.29,2009,4521
201100040950,-1200,2011,4521
201100007564,6000,2011,4525
200800036262,6000,2008,4526
